lat,lon,alt,time_s,speed,heading
31.1959380,121.3950547,1.02,0.51,9.58,0.0
31.1959814,121.3950600,2.03,1.01,9.58,0.0
31.1960247,121.3950653,3.05,1.52,9.58,0.0
31.1960681,121.3950706,4.07,2.02,9.58,0.0
31.1961115,121.3950759,5.08,2.53,9.58,0.0
31.1961548,121.3950812,6.10,3.04,9.58,0.0
31.1961982,121.3950865,7.12,3.54,9.58,0.0
31.1962416,121.3950919,8.13,4.05,9.58,0.0
31.1962850,121.3950972,9.15,4.55,9.58,0.0
31.1963283,121.3951025,10.17,5.06,9.58,0.0
31.1963717,121.3951078,11.18,5.57,9.58,0.0
31.1964151,121.3951131,12.20,6.07,9.58,0.0
31.1964584,121.3951184,13.22,6.58,9.58,0.0
31.1965018,121.3951237,14.23,7.08,9.58,0.0
31.1965452,121.3951290,15.25,7.59,9.58,0.0
31.1965885,121.3951343,16.27,8.10,9.58,0.0
31.1966319,121.3951397,17.28,8.60,9.58,0.0
31.1966753,121.3951450,18.30,9.11,9.58,0.0
31.1967186,121.3951503,19.32,9.61,9.58,0.0
31.1967620,121.3951556,20.33,10.12,9.58,0.0
31.1968054,121.3951609,21.35,10.63,9.58,0.0
31.1968488,121.3951662,22.37,11.13,9.58,0.0
31.1968921,121.3951715,23.38,11.64,9.58,0.0
31.1969355,121.3951768,24.40,12.15,9.58,0.0
31.1969789,121.3951821,25.42,12.65,9.58,0.0
31.1970222,121.3951874,26.43,13.16,9.58,0.0
31.1970656,121.3951928,27.45,13.66,9.58,0.0
31.1971090,121.3951981,28.47,14.17,9.58,0.0
31.1971523,121.3952034,29.48,14.68,9.58,0.0
31.1971957,121.3952087,30.50,15.18,9.58,0.0
31.1972391,121.3952140,31.52,15.69,9.58,0.0
31.1972825,121.3952193,32.54,16.19,9.58,0.0
31.1973258,121.3952246,33.55,16.70,9.58,0.0
31.1973692,121.3952299,34.57,17.21,9.58,0.0
31.1974126,121.3952352,35.59,17.71,9.58,0.0
31.1974559,121.3952406,36.60,18.22,9.58,0.0
31.1974993,121.3952459,37.62,18.72,9.58,0.0
31.1975427,121.3952512,38.64,19.23,9.58,0.0
31.1975860,121.3952565,39.65,19.74,9.58,0.0
31.1976294,121.3952618,40.67,20.24,9.58,0.0
31.1976728,121.3952671,41.69,20.75,9.58,0.0
31.1977162,121.3952724,42.70,21.25,9.58,0.0
31.1977595,121.3952777,43.72,21.76,9.58,0.0
31.1978029,121.3952830,44.74,22.27,9.58,0.0
31.1978463,121.3952884,45.75,22.77,9.58,0.0
31.1978896,121.3952937,46.77,23.28,9.58,0.0
31.1979330,121.3952990,47.79,23.78,9.58,0.0
31.1979764,121.3953043,48.80,24.29,9.58,0.0
31.1980197,121.3953096,49.82,24.80,9.58,0.0
31.1980631,121.3953149,50.84,25.30,9.58,0.0
31.1981065,121.3953202,51.85,25.81,9.58,0.0
31.1981498,121.3953255,52.87,26.31,9.58,0.0
31.1981932,121.3953308,53.89,26.82,9.58,0.0
31.1982366,121.3953361,54.90,27.33,9.58,0.0
31.1982800,121.3953415,55.92,27.83,9.58,0.0
31.1983233,121.3953468,56.94,28.34,9.58,0.0
31.1983667,121.3953521,57.95,28.84,9.58,0.0
31.1984101,121.3953574,58.97,29.35,9.58,0.0
31.1984534,121.3953627,59.99,29.86,9.58,0.0
31.1984968,121.3953680,61.00,30.36,9.58,0.0
31.1985402,121.3953733,62.02,30.87,9.58,0.0
31.1985835,121.3953786,63.04,31.37,9.58,0.0
31.1986269,121.3953839,64.05,31.88,9.58,0.0
31.1986703,121.3953893,65.07,32.39,9.58,0.0
31.1986464,121.3954313,65.07,32.89,9.58,0.0
31.1986225,121.3954734,65.07,33.39,9.58,0.0
31.1985985,121.3955155,65.07,33.89,9.58,0.0
31.1985746,121.3955576,65.07,34.39,9.58,0.0
