lat,lon,alt,time_s,speed,heading
31.1959607,121.3950575,-14.45,0.51,14.58,0.0
31.1960268,121.3950656,-12.90,1.01,14.58,0.0
31.1960929,121.3950736,-11.35,1.52,14.58,0.0
31.1961590,121.3950817,-9.80,2.03,14.58,0.0
31.1962251,121.3950898,-8.25,2.53,14.58,0.0
31.1962911,121.3950979,-6.70,3.04,14.58,0.0
31.1963572,121.3951060,-5.15,3.55,14.58,0.0
31.1964233,121.3951141,-3.61,4.05,14.58,0.0
31.1964894,121.3951222,-2.06,4.56,14.58,0.0
31.1965555,121.3951303,-0.51,5.07,14.58,0.0
31.1966216,121.3951384,1.04,5.57,14.58,0.0
31.1966877,121.3951465,2.59,6.08,14.58,0.0
31.1967538,121.3951546,4.14,6.59,14.58,0.0
31.1968198,121.3951627,5.69,7.09,14.58,0.0
31.1968859,121.3951708,7.24,7.60,14.58,0.0
31.1969520,121.3951788,8.79,8.11,14.58,0.0
31.1970181,121.3951869,10.34,8.61,14.58,0.0
31.1970842,121.3951950,11.89,9.12,14.58,0.0
31.1971503,121.3952031,13.44,9.63,14.58,0.0
31.1972164,121.3952112,14.99,10.13,14.58,0.0
31.1972825,121.3952193,16.54,10.64,14.58,0.0
31.1973485,121.3952274,18.08,11.15,14.58,0.0
31.1974146,121.3952355,19.63,11.65,14.58,0.0
31.1974807,121.3952436,21.18,12.16,14.58,0.0
31.1975468,121.3952517,22.73,12.67,14.58,0.0
31.1976129,121.3952598,24.28,13.17,14.58,0.0
31.1976790,121.3952679,25.83,13.68,14.58,0.0
31.1977451,121.3952760,27.38,14.19,14.58,0.0
31.1978112,121.3952841,28.93,14.69,14.58,0.0
31.1978772,121.3952921,30.48,15.20,14.58,0.0
31.1979433,121.3953002,32.03,15.71,14.58,0.0
31.1980094,121.3953083,33.58,16.21,14.58,0.0
31.1980755,121.3953164,35.13,16.72,14.58,0.0
31.1981416,121.3953245,36.68,17.23,14.58,0.0
31.1982077,121.3953326,38.23,17.73,14.58,0.0
31.1982738,121.3953407,39.77,18.24,14.58,0.0
31.1983398,121.3953488,41.32,18.75,14.58,0.0
31.1984059,121.3953569,42.87,19.25,14.58,0.0
31.1984720,121.3953650,44.42,19.76,14.58,0.0
31.1985381,121.3953731,45.97,20.27,14.58,0.0
31.1986042,121.3953812,47.52,20.78,14.58,0.0
31.1986703,121.3953893,49.07,21.28,14.58,0.0
31.1986338,121.3954535,49.07,21.78,14.58,0.0
31.1985973,121.3955177,49.07,22.29,14.58,0.0
31.1985608,121.3955820,49.07,22.79,14.58,0.0
31.1985242,121.3956462,49.07,23.29,14.58,0.0
31.1984877,121.3957105,49.07,23.80,14.58,0.0
31.1984512,121.3957747,49.07,24.30,14.58,0.0
31.1984147,121.3958389,49.07,24.80,14.58,0.0
31.1983782,121.3959032,49.07,25.31,14.58,0.0
31.1983417,121.3959674,49.07,25.81,14.58,0.0
31.1983052,121.3960317,49.07,26.31,14.58,0.0
31.1982687,121.3960959,49.07,26.82,14.58,0.0
31.1982322,121.3961601,49.07,27.32,14.58,0.0
31.1981956,121.3962244,49.07,27.82,14.58,0.0
31.1981591,121.3962886,49.07,28.33,14.58,0.0
31.1981226,121.3963529,49.07,28.83,14.58,0.0
31.1980861,121.3964171,49.07,29.33,14.58,0.0
31.1980496,121.3964813,49.07,29.83,14.58,0.0
31.1980131,121.3965456,49.07,30.34,14.58,0.0
31.1979766,121.3966098,49.07,30.84,14.58,0.0
31.1979401,121.3966741,49.07,31.34,14.58,0.0
31.1979036,121.3967383,49.07,31.85,14.58,0.0
31.1978671,121.3968025,49.07,32.35,14.58,0.0
31.1978305,121.3968668,49.07,32.85,14.58,0.0
31.1977940,121.3969310,49.07,33.36,14.58,0.0
31.1977575,121.3969953,49.07,33.86,14.58,0.0
31.1977210,121.3970595,49.07,34.36,14.58,0.0
31.1976845,121.3971237,49.07,34.87,14.58,0.0
31.1976480,121.3971880,49.07,35.37,14.58,0.0
31.1976115,121.3972522,49.07,35.87,14.58,0.0
31.1975750,121.3973165,49.07,36.37,14.58,0.0
31.1975385,121.3973807,49.07,36.88,14.58,0.0
31.1975019,121.3974449,49.07,37.38,14.58,0.0
31.1974654,121.3975092,49.07,37.88,14.58,0.0
31.1974289,121.3975734,49.07,38.39,14.58,0.0
31.1973924,121.3976377,49.07,38.89,14.58,0.0
31.1973559,121.3977019,49.07,39.39,14.58,0.0
31.1973194,121.3977661,49.07,39.90,14.58,0.0
31.1972829,121.3978304,49.07,40.40,14.58,0.0
31.1972464,121.3978946,49.07,40.90,14.58,0.0
31.1972099,121.3979589,49.07,41.41,14.58,0.0
31.1971734,121.3980231,49.07,41.91,14.58,0.0
31.1971368,121.3980873,49.07,42.41,14.58,0.0
31.1971003,121.3981516,49.07,42.91,14.58,0.0
31.1970638,121.3982158,49.07,43.42,14.58,0.0
31.1970273,121.3982801,49.07,43.92,14.58,0.0
31.1969908,121.3983443,49.07,44.42,14.58,0.0
31.1969543,121.3984085,49.07,44.93,14.58,0.0
31.1969178,121.3984728,49.07,45.43,14.58,0.0
31.1968813,121.3985370,49.07,45.93,14.58,0.0
31.1968448,121.3986013,49.07,46.44,14.58,0.0
31.1968082,121.3986655,49.07,46.94,14.58,0.0
31.1967717,121.3987297,49.07,47.44,14.58,0.0
31.1967352,121.3987940,49.07,47.95,14.58,0.0
31.1966987,121.3988582,49.07,48.45,14.58,0.0
31.1966622,121.3989225,49.07,48.95,14.58,0.0
31.1966257,121.3989867,49.07,49.45,14.58,0.0
31.1965892,121.3990509,49.07,49.96,14.58,0.0
31.1965527,121.3991152,49.07,50.46,14.58,0.0
31.1965162,121.3991794,49.07,50.96,14.58,0.0
31.1964797,121.3992437,49.07,51.47,14.58,0.0
31.1964431,121.3993079,49.07,51.97,14.58,0.0
31.1964066,121.3993721,49.07,52.47,14.58,0.0
31.1963701,121.3994364,49.07,52.98,14.58,0.0
31.1963336,121.3995006,49.07,53.48,14.58,0.0
31.1962971,121.3995649,49.07,53.98,14.58,0.0
31.1962606,121.3996291,49.07,54.49,14.58,0.0
31.1962241,121.3996933,49.07,54.99,14.58,0.0
31.1961876,121.3997576,49.07,55.49,14.58,0.0
31.1961511,121.3998218,49.07,56.00,14.58,0.0
31.1961145,121.3998861,49.07,56.50,14.58,0.0
31.1960780,121.3999503,49.07,57.00,14.58,0.0
31.1960415,121.4000145,49.07,57.50,14.58,0.0
31.1960050,121.4000788,49.07,58.01,14.58,0.0
